"","p_value_mix_compsym"
"EEF1A1",6.46083186950364e-12
"GAPDH",6.42001897521727e-06
"RPS28",0.089608460873118
"CDT1",0.0952532409091073
"LPP",3.84101628281286e-07
"HNRNPAB",0.0233904886404127
"SNIP1",0.00332566608596419
"HMG20B",0.639529305335136
"CD69",1.69250789399111e-05
"TICAM2",9.6246233205477e-11
"SERTAD2",2.22044604925031e-16
"HBE1",0.796554047943275
"MFN2",7.62885230773946e-05
"DCK",5.99520433297585e-15
"ZFPM1",0.00236928585613216
"HIST1H2BD",0.0444898898401813
"SKIV2L2",0.000334097560377389
"SEMA3E",3.29653340180869e-08
"XRCC2",1.23409142904762e-08
"RTN3",0.0216770792405699
"STK10",0.000164095478621062
"CAT",0.000291855054973089
"TGOLN2",0.000622412446295462
"MKL1",9.75563185789952e-10
"FHOD1",6.14455151479731e-05
"MAP3K11",6.48370246381091e-14
"SLC38A2",7.86765176385984e-06
"GALNT11",0.00805501946231435
"BASP1",0.000987469407065955
"EHD1",0.000282797632982668
"RPS16",0.138426102917544
"UBIAD1",0.667053077278788
"CWF19L1",0.0230838389689676
"TPST1",0.177892522633225
"CCDC167",0.0028670988338424
"GNG10",0.00710728323773346
"KCNMB1",8.54727399968169e-11
"ELF4",5.48505685316059e-11
"HMGN1",5.77315972805081e-15
"LMBRD1",4.00599353689302e-09
"PNKD",0.0318129028536781
"IL4R",0.000755736906137838
"CCM2",0.0693787943658198
"COX4I1",0.0189885986778887
"KCTD5",0.012006236471543
"FN3KRP",0.0967026092223585
"SUCLG2",9.18737951138837e-06
"SIGLEC5",3.37253406346161e-06
"TRPT1",0.0121198655557269
"CA1",0.00323329720551091
"RAC1",0.0182545976615054
"MANSC1",0.00198470621054669
"APEX2",0.00433607744121334
"MTMR9",1.72839520473644e-12
"GLIPR2",3.44727033585457e-08
"SH3KBP1",0.149983456626393
"C14orf2",0.000271913103063404
"ZNF428",0.303466253164898
"CDC42EP2",0
"PIK3AP1",9.10557766680142e-05
"CLK1",5.71542813077031e-13
"ATP5J",9.33714525136464e-05
"IL10RA",9.68405656998073e-07
"GBGT1",0.00457917844072997
"TUBA3FP",0.0647507803360161
"NPIPB3",3.63186810348193e-05
"NUP160",5.85779031947453e-08
"PLAC8",1.7889749187594e-06
"ECH1",0.257230081340757
"CSTF2",0.035052187284754
"CNEP1R1",1.33991727724325e-05
"C8orf59",0.00419112415727763
"PITPNM1",1.2118150394258e-07
"PFKFB4",0.00174096661587786
"TAF12",0.00940437680768791
"RAX2",0.00245132732517206
"HNRNPDL",3.59712259978551e-14
"HES4",1.41507668132146e-05
"RPL12",4.24091655988335e-05
"IGSF6",0
"S1PR1",4.01900734914307e-14
"ATP5D",3.51062398085134e-06
"ZZZ3",7.32558458338417e-12
"UBL7",0.00415910465026692
"CORO1B",1.16420939555439e-09
"TIMM9",0.0370960331940637
"FZD2",7.74593356123177e-08
"ZFAND2B",3.11811839284193e-05
"SNHG5",0.00983692190309193
"C6orf62",0.000183089468198228
"CHFR",0.000178353219638328
"UBASH3B",0
"NAMPT",0.004509464913247
"MYL12B",0.0223321423163776
"MKNK2",1.75822689740812e-11
"NUDT1",0.175972046162175
"BCL2L1",0.000562314461356461
"COX6C",0.881677932938693
"ZMAT3",2.99214107135626e-06
"HMGB2",6.30387816471512e-05
"ELK1",0.0002961427174617
"UBE3A",4.80993023188603e-12
"TESK2",0.000273568914055278
"KHNYN",0.00302779281007726
"ITGB2",0.000796572691815101
"OAT",6.1289544661669e-08
"TMEM120A",5.81630332785465e-09
"LRCH4",0.00705012569646457
"FAM172A",7.00431136935187e-06
"MED6",0.00370387407316841
"CPSF1",0.656943427649086
"MRPS31",1.30775634765712e-09
"TLR6",0.00324665501665622
"HSPA1L",0.0653999508996739
"FCHO1",0.00185218556714473
"CHD1",1.66287529701492e-06
"TMEM175",0.224342074571161
"HERC6",0.000408123076456546
"LSP1",1.53947318426439e-05
"UNC93B1",5.99520433297585e-15
"FAM134A",0.000402827305669207
"ACO2",0.00336523328536309
"CLC",7.40267897888502e-05
"HNRNPH3",1.15969578500241e-05
"TMED2",0.000158159732325025
"ZSCAN18",7.54949824954831e-06
"PI4KAP2",0.00676754799342327
"PTBP1",0.0254475789516064
"RNF138",0.00681003836195004
"ZBTB34",0.0597781195880416
"C19orf25",3.91285216740922e-05
"ERP27",0.00576602976538809
"FAM136A",2.9375900415074e-05
"PSMC6",2.98589202130106e-06
"RNF181",1.79778854025869e-08
"GPR1",3.45209917225198e-05
"MRPS22",2.94044433989393e-05
"TNFSF14",1.82406955413494e-05
"CAPNS1",3.44371422722478e-06
"RPL17",8.13520639963983e-07
"TRIM27",1.13562114067989e-06
"EIF4B",1.34491777048495e-06
"SIGLEC10",0.0166849972861518
"ARPC3",0.433451590423714
"SERPINE2",1.23925425477012e-10
"THAP12",3.08642000845794e-14
"METTL3",0.0111242880721335
"SARS2",0.028426335931976
"ABHD5",2.28872151508686e-05
"RPF1",0.0184033085871131
"MRPS21",0.00137805537862001
"MMGT1",0.00196039284844152
"NUCB2",8.56896453957923e-05
"GTF2E1",0.000433777918369072
"WASH1",0.581383759258509
"KIAA0319L",7.63520824342834e-09
"TNPO2",0.734958419027181
"H3F3A",5.57891466357319e-09
"MYLIP",3.85887462694967e-06
"STAU1",0.00821426997690811
"GOT1",0.165911878461545
"DEF8",6.2653474186547e-08
"METTL7A",0.00349129006571913
"SPOCK2",1.13605833740316e-07
"BOLA2",0.00127146206351569
"ZMPSTE24",1.27564733221064e-07
"IP6K1",2.95201653455202e-06
"OSBPL2",9.02781085185822e-05
"DUSP5",1.22124532708767e-14
"SNRPN",6.88227252965135e-12
"CHMP2A",6.98328617154687e-10
"RPS24",0.000235240579292695
"COX19",0.00488147317617749
"HLA-G",5.06106384352556e-05
"ZYG11B",0.00104607349245067
"CCR3",0.52698876758781
"IGLL1",0.631686930347912
"RPS6",1.10121610901182e-05
"RPL27",0.000104567745979889
"DNM2",1.22539426872237e-06
"SULT1A1",0.0016300213340158
"HECTD3",0.183958516458985
"MDH1",1.60741909482898e-06
"CRIP1",0.000472315644938437
"REPS2",3.16695456686888e-05
"HIBCH",0.0556344338047507
"SKAP2",0.00415961524012776
"ADAT1",0.0035875718580104
"ACTR3",1.3454372424393e-05
"SAE1",0.000210373843119172
"ALKBH5",0.583783192370926
"CBX7",1.72808434228955e-11
"HMGCR",2.8466118351389e-13
"NTPCR",0.00252440607361981
"YTHDF3",0.00157481087457567
"MAGEL2",0.133080192180013
"SEC23B",0.0017735232723487
"MLEC",0.00104205482645103
"TSEN54",5.60303603514001e-08
"RPS6KA5",0.00427924691525294
"NSFL1C",0.0012688238530294
"VAV3",0.000122783008536631
"GFM1",8.51831594150809e-09
"SAR1A",0.0143985550297323
"RPS3A",1.13497829823395e-06
"SRSF11",0.000811946986293277
"FIBP",0.00177914589604977
"PPM1M",1.0874006779682e-05
"TMEM14C",3.31751670579195e-09
"AHCY",6.47497880423842e-07
"RSAD2",6.85699528268913e-08
"TLR8",9.01902524286236e-06
"MUC6",0.129669834582157
"RHEB",2.24517098246224e-08
"MAP2K2",2.95145459183743e-08
"MSRB2",3.12194714524594e-13
"TERF2IP",0.000220953514401767
"DYNLRB1",0.000621487753849514
"CFP",4.63884486379129e-11
"MEX3C",4.21884749357559e-15
"OAS1",0
"DRG1",0.0108168205229284
"WDR54",1.02909684618346e-06
"METTL22",0.0278148879154454
"BAZ1A",0.000949700658305241
"AKIRIN1",0.00477789468487599
"FIS1",0.0593656669978342
"HSPA6",4.57100631789942e-08
"KLRG1",5.05101882541936e-08
"CHD4",0.0898850186972804
"MRPS18C",0.00266518814712957
"SFXN4",1.54032342436494e-12
"GTF3A",6.00514664206298e-06
"APH1A",3.79372212311324e-07
"MRPL54",0.000661636421974365
"RGCC",1.77569070558548e-12
"UBXN6",0.0271474732163172
"SLC46A3",0.0937486342468411
"SAAL1",2.94507368276964e-05
"HIST1H2BJ",0.0867075975568793
"ST6GALNAC2",0.000796557642660511
"MEGF9",0.00109041286534961
"BRPF3",0.160247935783791
"KRTCAP2",0.126227096336804
"WBP1L",0.000134880819483429
"ARAF",0.013715509916846
"ATP11B",8.40985321097776e-05
"DAGLB",0.163223872267133
"GNB2",2.0128745337189e-07
"WASH7P",0.556671544774955
"CREB5",0.203281977359836
"DPM1",1.97847999839906e-05
"XPNPEP3",2.03717486684241e-05
"SLC2A1",0.028189356450081
"DENND6B",0.170917614415522
"HIST2H2AA3",9.96146205274329e-05
"CHKB",1.32960309429109e-12
"PPP1R10",8.12587630871775e-06
"HLA-DOA",0.0056213923648204
"ROCK2",0.136856664397493
"SAMD3",1.20703447237247e-12
"CARD19",0.434378189073618
"RARA",8.11661854616119e-07
"CD79A",8.69808666204008e-08
"MTMR14",2.93301094522747e-09
"RP2",1.39828739587067e-07
"SVIL",0.0247305621125934
"POLR2C",0.00270184531590267
"LAMTOR3",1.32416857729911e-05
"TXNDC17",0.0139693605950508
"DUSP23",0.015669381765805
"APAF1",0.133130616826703
"PLXNB2",4.71844785465692e-14
"USP39",0.307311431101088
"STX3",0.139175650373907
"SEC61A1",0.737169260830812
"LGALS3BP",0
"LAMP2",0.00151926900521038
"BTF3",2.65860553347874e-05
"BAG3",0.00401744055318964
"KCNJ15",4.63398208694343e-11
"RPL13AP3",9.35512811661710e-09
"TRMT13",4.03320338682178e-07
"KIAA0355",4.29656310529936e-14
"SNAP29",0.00161619187370299
"PAK2",0.814982944302569
"PPP1R14B",5.28843635549947e-12
"MSN",9.67807107671304e-05
"ISG20",0
"GNAQ",0.0676141805526589
"PPP1R15A",3.47019532342951e-06
"SNURF",4.91529039692296e-11
"PRR5",0.0651028752918805
"PLIN3",1.37650003162459e-06
"POLE4",0.137929917684665
"RNF44",0.0668299644555366
"UCHL3",0.147037894238831
"MATR3",1.00667748248462e-07
"SYF2",0.000775276812759795
"ZNF529",4.82160174009039e-08
"ACAA2",0.265691241228995
"LINC00999",3.28434011453993e-06
"PEX5",9.36963493791687e-07
"CYTH4",2.34411603461382e-08
"RPL13AP20",1.38890680734249e-07
"CPSF4",0.000754155289398928
"HSPA1B",0.000419946089579071
"MCOLN2",0.018399782429897
"RPS27",9.93745555621928e-07
"RPN1",0.0293809908265015
"WLS",0.00105112660486961
"CRLF3",1.17420984047101e-09
