"","p_value_mix_compsym"
"EEF1A1",0.141183897126823
"GAPDH",0.034715972234713
"DUSP22",0.486586713746917
"RPS28",0.405517794783232
"IPO13",0.902819393756682
"AFAP1",0.243448583778233
"CDT1",0.0387641506071203
"LPP",0.000123796866083514
"CCNE2",0.339695431240061
"HNRNPAB",0.237340815352844
"BORCS5",0.940087301801145
"SNIP1",0.304756466787164
"COL17A1",0.865755848198505
"BCL6B",0.346412982539483
"ATP13A4",0.082585461814005
"DIAPH2",0.391935874790866
"HMG20B",0.036325118911683
"CD69",0.143152181904943
"MLYCD",0.808621349321562
"ITGA11",0.73160001840083
"TICAM2",0.0170905215620187
"SERTAD2",0.449825940864724
"SPP1",0.397143775762657
"HBE1",0.758675464402747
"PCBD2",0.227537033880278
"ZBED2",0.519286946354797
"USP21",0.575238383862463
"RHD",0.434619669663528
"AUP1",0.45212363716561
"MFN2",0.0313035879389346
"BRD9",0.000190700789448759
"SELM",0.361676685157182
"DCK",0.324867348933323
"ZFPM1",0.906572111299154
"GPR32",0.89471827444629
"KDM2B",0.00981288442566233
"HIST1H2BD",0.389098052952152
"GADD45G",0.30335213404664
"ABCD4",0.0540135691781358
"FAM193A",0.054695192944129
"TGS1",0.12118339491833
"SKIV2L2",0.130987036606176
"TMEM217",0.509413445968438
"NUMBL",0.267301560434701
"SEMA3E",0.27024047262466
"KDELC2",0.0131337393050859
"MUC13",0.845913445882625
"XRCC2",0.901660386808729
"AQP3",0.954173301421366
"ENTPD2",0.607256233610788
"MARK4",0.438299701384704
"C6orf201",0.393195551652629
"EXOC6",0.615963869816962
"GPC2",0.758426900483038
"RTN3",0.000677895657400041
"SDHAP1",0.335113784764529
"KIAA0586",0.292510063143454
"STK10",0.0482039682652267
"EPS8",0.0824556639352617
"CAT",0.212514161639813
"RESP18",0.575557434955367
"IQCD",0.520064179745958
"RNF2",0.944079739969818
"MBTPS1",0.0428190290338015
"TGOLN2",0.0998982262443759
"TMEM25",0.213587150094579
"TFDP3",0.919041714517111
"MKL1",0.0987699611418468
"ZFYVE16",0.749125276408218
"RRAGB",0.103007458933685
"FHOD1",0.712485868527911
"MAP3K11",0.00110863145789499
"SLC38A2",0.635426250548278
"GALNT11",0.252567921254611
"BASP1",0.0198161627875664
"CCT3",0.6374089560793
"EHD1",0.172256753715517
"RPS16",0.0860568713893676
"UBIAD1",0.229919022377877
"CWF19L1",0.373038671844748
"KCNA4",0.993287163220313
"KMT5A",0.563771209655858
"OR6C76",0.0947828499560333
"SCYL3",0.0755074330513709
"TPST1",0.0542224511019508
"ABCC5",0.493895588544178
"CCDC167",0.00869291855839723
"FAM156A",0.386120757485793
"GNG10",0.685436826759053
"SMC1A",0.513997846637705
"CSNK1G3",0.201005169051425
"UPP2",0.230758304978191
"KCNMB1",0.000215519054813893
"SNED1",0.887585251131877
"NIM1K",0.921763216515927
"ELF4",0.0115010500620243
"MPHOSPH10",0.135723179043856
"PAPOLB",0.415447808534603
"KRAS",0.288197139228118
"HMGN1",0.000510921281486954
"LMBRD1",0.3148269093752
"NPY4R",0.283690680189982
"MRPL43",0.0946709682452767
"LRBA",0.223913059547239
"PNKD",0.389538508301666
"DVL2",0.347292072966948
"IL4R",0.652672537198948
"CCM2",0.543821658323544
"COX4I1",0.0315526232705389
"NOL4L",0.23769297542513
"WDR91",0.636712573237218
"CBR3",0.0799334119140512
"POPDC3",0.857725146838741
"PTPA",0.381471692969967
"SECTM1",0.0376244777683097
"FBXO32",0.231903395473649
"EVX2",0.98827192623578
"ZNF507",0.805181202210157
"MEGF10",0.706174446068896
"RNF215",0.515859526735961
"KCTD5",0.76621146745745
"FN3KRP",3.21298433253217e-05
"PDHX",0.486782698649519
"ERCC1",0.998343070843402
"IFNA17",0.415664861745723
"IPO7",0.262676581648562
"SUCLG2",0.181361039433445
"SIGLEC5",0.00113298865235416
"RAB2A",0.0443748145123856
"TRPT1",0.164294542496956
"PHKB",0.133278845983026
"UCN2",0.723883246530824
"CA1",0.0970347969590476
"RAC1",0.142293033392879
"TMEM98",0.00268749654938687
"TUBA3E",0.862981986202897
"SLC26A4",0.0788244349306738
"THAP7",0.161609757230169
"MANSC1",0.191992333105272
"TCAF2",0.849708515123766
"APEX2",0.852959144941095
"MTMR9",0.230239371271612
"MVB12B",0.691666079804029
"RELL2",0.113093160408872
"TSHB",0.51265695309277
"POLD1",0.889189835751961
"ACTR5",0.777558949838936
"LMNTD2",0.357690989399925
"GLIPR2",5.7653273001019e-06
"LRRC58",0.164865644140494
"SH3KBP1",0.371555860008476
"TMEM198B",0.575842408413084
"SHH",0.846722380769811
"C10orf111",0.277970376864174
"TMCO5A",0.0142907349712815
"C14orf2",0.416508761468818
"ERF",0.0870771526784389
"PAAF1",0.113976456610823
"ZNF428",0.00641848891975074
"HIC2",0.167781899365402
"CDC42EP2",0.00208786082574905
"TMOD2",0.893793738091256
"PIK3AP1",0.147649446150467
"CLK1",0.601068136267944
"ATP5J",0.0219149609742671
"IL10RA",0.047857546454811
"PCYT2",0.96820955963304
"SLC15A1",0.0546799480933237
"PLSCR5",0.975113989615165
"GBGT1",0.234918923836374
"CDC5L",0.170067791248891
"EZH2",0.00216414553200622
"RHOF",0.953842662037865
"ORAI2",0.166628556624605
"CLDN25",0.879550058009455
"TUBA3FP",0.771050169038618
"VSTM5",0.459582705194182
"C1orf194",0.568539357678534
"ZNF479",0.597044125662278
"NPIPB3",0.545883007684773
"NUP160",0.52545486477429
"NBPF10",0.381363646226365
"SMG1",0.4442392778974
"HIST1H2BL",0.100592015143766
"CABLES1",0.518909070053466
"PLAC8",0.000322237462612288
"COL4A1",0.0626867756361287
"PCDHGA12",0.642997081026755
"HSD3B7",0.985224814265409
"DHX40",0.865551067678561
"SOX3",0.422124331889413
"OR10Q1",0.707126475155013
"CNBD2",0.638807881633875
"ECH1",0.995149445909043
"ST6GAL1",0.315439565792711
"PER1",0.879146596168429
"CSTF2",0.0322336350788334
"SH3D19",0.587871329182525
"CNEP1R1",0.116032253872383
"MSH4",0.896859096561632
"C2CD4C",0.24219633106091
"DPRX",0.113783815375951
"SNCG",0.753037352809055
"AAMP",0.973633943938084
"CLEC10A",0.92705059689283
"TPM4",0.402656090033474
"SLC22A17",0.316210721089375
"EFEMP2",0.004757939165171
"C8orf59",0.0273653624834176
"ATP1B4",0.415962865220515
"PITPNM1",0.408357165145742
"C3orf22",0.717905618174816
"HIST1H1B",0.640827890550977
"GPRIN1",0.134013696945557
"LCE2A",0.376311215492256
"APP",0.617600860870216
"PFKFB4",5.22602558975501e-05
"ZNF580",0.397716843964953
"MC1R",0.773352608267052
"USP32",0.0170864876593435
"DUS1L",0.435151371304556
"FUT3",0.942137345178061
"TAF12",0.216077195949998
"ATP8B3",0.0629864777093694
"FAM171B",0.530573722406103
"KIF3A",0.759335630157003
"NKIRAS2",0.00683080078101715
"RAX2",0.231467012805589
"SPANXA2",0.762389806063271
"SLC35A3",0.757868852834612
"HNRNPDL",0.0050927989481577
"CDK2",0.0198238387728561
"PSORS1C2",0.760361112164457
"CCSER1",0.995706475901512
"SULT1C3",0.387511675867616
"HES4",0.248682798356464
"RPL12",0.00700270547587715
"CCDC125",0.221471849265672
"S100A1",0.59784658304694
"GLUL",0.669868048255795
"IGSF6",0.000472073241701911
"SEMA3B",0.587178990355235
"S1PR1",0.0108110606360079
"RBBP4",0.448845342100834
"SIKE1",0.0511289719303167
"TEX10",0.0877701189374685
"XYLT1",0.488721515588581
"TRIM40",0.0484526905264735
"ATP5D",0.285744379586175
"KCTD9",0.036007699485848
"DENND6A",0.0590919749516169
"ZZZ3",0.0326700973866923
"UBL7",0.700441313294588
"PTPRC",0.000168900953561937
"CUL3",0.837840039267622
"DTX4",0.365606082915372
"CORO1B",0.681129156313613
"TIMM9",0.0863584535781274
"FZD2",0.160906867677019
"UAP1L1",0.146714244299461
"ZFAND2B",0.405271196971228
"ITGBL1",0.914869889709881
"INTS4",0.463170544963797
"CST11",0.300779712015582
"SOX10",0.891110185370978
"MYCN",0.0220756343430672
"NRSN1",0.600957305559882
"CCL24",0.761358096477899
"WDR63",0.353428798856707
"PDPK1",0.0758911403956171
"SNHG5",0.0118010923619037
"C6orf62",0.887274595656288
"CHFR",0.0436853436059001
"OGFOD1",0.0130112860467132
"KIAA1549L",0.727425586537382
"UBASH3B",0.0401738293038697
"ZNF483",0.486175146497643
"NAMPT",0.152555883033188
"SPG21",0.21698101363445
"ATRIP",0.929529031084397
"SNORD83A",0.806992409310127
"SMC6",0.56622461890949
"HID1",0.196510461404799
"MYL12B",0.30957539463537
"ZER1",0.158689366541471
"MKNK2",0.0212391784136939
"ATOH8",0.573490579268528
"NUDT1",0.00886945124558741
"CX3CL1",0.491891192908946
"ITGA3",0.107327171112447
"PARD6A",0.202143971979626
"BCL2L1",0.149454363686418
"COX6C",0.193406890567822
"DNAJC5B",0.721167136573345
"CD1C",0.316423970303622
"MPP2",0.480338537878247
"SIRT6",0.871518176505538
"ZMAT3",0.463050351328905
"HMGB2",0.269655447672828
"ADCY9",0.297285384748696
"ELK1",0.251140688824487
"PTPN23",0.26016957643976
"HAPLN3",0.107265503848795
"ATP1B3",0.225085105844905
"UBE3A",0.127399195901877
"HEYL",0.0484429106966907
"UGP2",0.585878331984884
"ZNF24",0.530034392829484
"TESK2",0.120665116241722
"ASB13",0.000822523485762436
"KHNYN",0.29154561681095
"ITGB2",0.169391081354566
"RGL1",0.154717699457236
"TRAF7",0.0203375223369532
"CCL18",0.852646879192813
"ACSL3",0.458394535580571
"PTF1A",0.578969029907505
"MPHOSPH9",0.857974455643433
"OAT",0.233201776500245
"TXN2",0.484877367807013
"SPANXN1",0.604133080631059
"PLAC4",0.893826300328012
"GML",0.351562594186796
"KDM6A",0.80984613861962
"ATAD1",0.393145121925447
"CLEC7A",0.34167895657893
"TMEM120A",0.0997892090265257
"LRCH4",0.060160237450706
"NPSR1",0.00271617510525912
"FAM172A",0.0243846607859242
"MED6",0.02481325756097
"CPSF1",0.139765458179175
"MRPS31",0.0668381608591162
"TLR6",0.00131850611401008
"HSPA1L",0.582389921331265
"TEKT1",0.847853562598296
"FCHO1",0.144518226703873
"CHD1",0.620650341606079
"RASA3",0.336038208293043
"ZDHHC22",0.82497408538808
"ZNF589",0.199212012579498
"TMEM175",0.449746140648313
"RGS7BP",0.569828905038953
"HERC6",0.219068967082192
"CPSF4L",0.279237238952777
"RAD9B",0.760781145102236
"MCTP1",0.087241000150882
"CECR5",0.784984283676524
"FKBP3",0.415102725977095
"GPR157",0.431652524661174
"MPV17L",0.62220042902198
"SLCO3A1",0.0195297941724087
"TRIM32",0.335223050296489
"GJD4",0.288659675193944
"CLDN22",0.00860011393157345
"LSP1",0.0327395409186006
"UNC93B1",0.000467918392763958
"FAM134A",0.381788908419402
"DCX",0.234899554873092
"GFY",0.0973090578517396
"ACO2",0.573964405251387
"BROX",0.451742757457041
"RANBP2",0.887983378285435
"CLC",0.0731973640902371
"SCAMP2",0.45138505829765
"KIF7",0.592113106776176
"HNRNPH3",0.751883632788659
"TMED2",0.122091394023407
"NFIC",0.0326290775772533
"ZSCAN18",0.850328227946988
"P2RX3",0.890558845331319
"SERF1B",0.030180216506107
"SLC27A4",0.938436826227644
"NUTF2",0.307233491267528
"PRDM1",0.574241870623307
"ABR",0.179024882982287
"WDR19",0.0452310555899539
"PI4KAP2",0.224179455944857
"PTBP1",0.543688283174188
"MORN1",0.229054435015174
"STK24",0.68044995970722
"RNF138",0.370541888344226
"CASZ1",0.00990436884155678
"JADE1",0.24729066300561
"ZBTB34",0.0384347103903916
"C19orf25",0.30213484662539
"SLC7A11",0.295322755864784
"PURG",0.953220019555515
"ERP27",0.13899363266239
"UTRN",0.0490769010305395
"FAM136A",0.0270298475335782
"C15orf61",0.173299256145524
"HPS5",0.0747133686743167
"PSMC6",0.402278783110716
"RIOK2",0.139575732137103
"RNF181",0.843093350519232
"SCGB1A1",0.0689040140138951
"GPR1",0.533145348154898
"CCDC173",0.852215424699853
"SELV",0.421673476287298
"MRPS22",0.136333662888145
"DCLRE1B",0.205556012318415
"TNFSF14",0.109316068283101
"CAPNS1",0.649370205342099
"RPL17",0.0369301047097816
"TNFAIP1",0.476350569965597
"OR5R1",0.595835597822341
"DSG3",0.771309268923985
"TSPAN3",0.00119360556070072
"RNASE9",0.132992824268041
"TRIM27",0.00219371258097052
"EIF4B",0.0106777803840066
"ASAH1",0.38243601167223
"DMRTA1",0.41716632030798
"ASB6",0.312973675719868
"ZMYND12",0.171014053273376
"SIGLEC10",0.276366462859192
"INTS6",0.0329617968756094
"ARPC3",0.113298614830006
"CTIF",0.000538191909427396
"UGT3A2",0.158002478628364
"AGPAT4-IT1",0.614543833099575
"SERPINE2",0.290424821458571
"KLHL18",0.477029123394069
"TSHZ2",0.157774957397084
"ARRDC2",0.700658524853549
"THAP12",0.0736927342744637
"GPATCH1",0.26041232876257
"DVL1",0.513165648289431
"METTL3",0.572355885390928
"UPK1A",0.581683164790717
"FANCI",0.212918065420867
"ZNF804A",0.337870183288356
"AK2",0.586911148501143
"MPDU1",0.487305701101024
"P3H4",0.174229823406819
"SARS2",0.188804195064332
"CDR1",0.956829218425361
"ABHD5",0.019465162674426
"PRLHR",0.74364449226166
"OR2M7",0.300173450888823
"RPF1",0.23167849313655
"MRPS21",0.0343575771262075
"ANKRD34B",0.225975375454525
"ZNF780A",0.34651293696421
"SF3A1",0.0245410074608116
"CAPG",0.507572044047949
"GSC",0.958438748454057
"HRASLS",0.2580708213805
"TMEM159",0.553733870018322
"CHST11",0.332765479575486
"ATP2A2",0.859696261505966
"MMGT1",0.216082708522614
"NUCB2",0.153963020667545
"GTF2E1",0.181241148511226
"TRNT1",0.353683655765883
"ADCY7",0.28022799687944
"WASH1",0.191857294996838
"PDE6B",0.761555848847777
"STAB1",0.537908226262256
"CDK5RAP2",0.191911427305014
"RGS1",0.141993684414785
"NTN3",0.230880796838251
"KIAA0319L",0.0017258970899536
"KRTAP19-4",0.394389046896171
"PLAU",0.322182621127776
"TNPO2",0.355187724559331
"H3F3A",0.00667620321221285
"CCDC190",0.082498714647599
"MYLIP",0.965823899326172
"ZBTB7A",0.969417187447703
"SLC39A10",0.239837796689139
"PNLDC1",0.131160369357064
"CNOT7",0.0435651472661248
"STAU1",0.132689351150949
"MAPKAPK2",0.934785815956447
"GOT1",0.083180119805232
"ATP10D",0.0229758702465696
"USP9X",0.725669984802104
"ADAMTS19",0.525469573460718
"PI4KAP1",0.19735636456736
"DEF8",0.22360387529874
"ACTL9",0.452655681091271
"TSPAN10",0.277200571656179
"E2F6",0.61165826202731
"KATNAL2",0.0567248796797737
"OR2T27",0.661210055615744
"DUPD1",0.964773624355944
"SPDYE8P",0.309832476926493
"CLMP",0.381662185760909
"PRPF38A",0.136725581664507
"METTL7A",0.160973703437561
"SPOCK2",0.012437957257261
"TSKS",0.172193048788807
"YBEY",0.447321964929044
"GFRA2",0.318935577597276
"SNORD28",0.062816645249024
"GLT1D1",0.652406987212957
"CCKAR",0.941704913804412
"RIT1",0.458638381824915
"ARHGAP27",0.129365721904122
"ASB12",0.887524393501355
"C8orf4",0.61232604158808
"TRPA1",0.28246658580483
"PES1",0.148798778290872
"BNC2",0.599706870473967
"NMT2",0.00457946772891097
"BOLA2",0.0172097573070367
"SOHLH1",0.0218460362940379
"SEC24D",0.182489271491513
"TCEAL8",0.0014911612553248
"STON1-GTF2A1L",0.655311059497243
"ZMPSTE24",0.801535063220069
"GID4",0.131416113084069
"IP6K1",0.00421304847874394
"C16orf59",0.724838033146279
"HIKESHI",0.144012768417884
"GRAP",0.000330044015252179
"ARSA",0.0141588365023129
"OSBPL2",0.0283648605430321
"DNAJC10",0.272127474212522
"NOTO",0.164876324034157
"DUSP5",0.065424647913083
"ZNF304",0.869553023372957
"SNRPN",0.000486411830775073
"RUVBL1",0.0803266361178328
"ARHGEF11",0.103243250556328
"OR4M2",0.136279468446517
"ATCAY",0.772878035478615
"STAC3",0.333562080164632
"CHMP2A",0.00580109751183905
"RPS24",0.0292505877281836
"WDR4",0.489066244025642
"BHMT",0.109149848902924
"COX19",0.129004704472822
"HLA-G",0.0010135169486159
"ZYG11B",0.0591359035405509
"AZIN1",0.261368684561968
"CCR3",0.639827940661522
"LCE2D",0.127683134024979
"IGLL1",0.654966161067458
"OR14A16",0.760689698297656
"MIA2",0.9970495264809
"RPS6",0.00357190302861117
"TIMM17A",0.450093888523372
"LOXL2",0.626330972273529
"RPL27",0.0227041710419364
"GPR141",0.0063543844015843
"DNM2",0.234701319199538
"RBP1",0.328288867390024
"GBA2",0.0570512331675467
"SLC26A8",0.000195601453053555
"LGALS9B",0.0347371493918558
"LIN37",0.0126271112902351
"SULT1A1",0.657111771963459
"HECTD3",0.0585990070540874
"MDH1",0.0352748098710251
"CRIP1",0.0134162882748454
"REPS2",0.00193058849903857
"ABLIM3",0.133512832379594
"PRICKLE3",0.142781842474096
"HIBCH",0.0265304073805283
"ABO",0.362900939745196
"STARD6",0.227072591499642
"ARSK",0.974860022518896
"PPIL6",0.678099046786752
"ERMARD",0.660564534726787
"SOCS6",0.295320004224909
"ZNF385B",0.297729553190265
"STARD3",0.402962057463033
"PTPRU",0.776238245234832
"SKAP2",0.123918348723009
"ADAT1",0.425676643237985
"FMR1NB",0.461631553110192
"IBA57",0.320738901732979
"C8orf46",0.191130095181305
"ACTR3",0.718304560837839
"RNF168",0.117860080345701
"KRTAP10-5",0.642191881966074
"TSNAXIP1",0.245248276924742
"SAE1",0.00509823882686865
"CCL20",0.953450198997589
"PALM3",0.989549306069235
"NUBP2",0.00873065895684487
"TBC1D3B",0.938844510663538
"ALKBH5",0.0365853522882309
"CPA6",0.640145442284225
"CBWD2",0.615708582699351
"POLR2J",0.425279426755372
"CCDC85B",0.754735790508267
"CD200R1L",0.444721790498353
"CBX7",0.659579274652918
"LOC440446",0.548220608074641
"HMGCR",0.961606937392833
"SPPL3",0.322928769958768
"NUP50",0.0675266324228651
"FGFR1OP2",0.662274187602584
"NTPCR",0.488869548130012
"SRPK2",0.0169410852300684
"CEACAM4",0.00582614613789557
"YTHDF3",0.395298396665064
"GALT",0.74919998087712
"MAGEL2",0.351823099005609
"SEC23B",0.36106602792404
"OR2AG2",0.951159933209039
"MLEC",0.975855457860553
"KIAA0319",0.818660573559182
"HR",0.0814366763124464
"TSEN54",0.0348270961986193
"RPS6KA5",0.678138084809114
"CLEC12B",0.375250546282126
"CCDC34",0.00959845912634131
"MVD",0.908056981793632
"ASNA1",0.40783635075717
"NCAPH",0.666310893697557
"ZFHX4",0.83096285069554
"SH3RF3",0.139800021108857
"WTAP",0.715111473287306
"DNAJB14",0.719371135940146
"NSFL1C",0.00914351477963304
"ZMYM6",0.00121972192997281
"EDEM3",0.269352560329584
"KCNIP2",0.447846752553154
"VAV3",0.460077620538351
"CCDC69",0.655875422172706
"GFM1",0.421261366789654
"C1orf198",0.381105352906716
"SAR1A",0.606517211369184
"RPS3A",0.0385822041840387
"ZNF254",0.531121523626269
"FAM219B",0.282010126065765
"BPHL",0.477516907279488
"CYP27C1",0.628479568073023
"RPAP2",0.508554111149263
"SYT17",0.260517437394557
"EIF5",0.359013332525773
"CRTC2",0.305853260846486
"SRSF11",0.0565095523570615
"STMN1",0.00732185975058827
"FIBP",0.826574389317569
"PPM1M",0.135176283161457
"IQCB1",0.196055851234151
"TOB2P1",0.481529854588956
"PLEKHG2",0.42358271535542
"ZC3H8",0.0147697945870865
"KDM8",0.768591855123526
"TMEM14C",0.0675096742539382
"AHCY",0.681047605077771
"TMUB2",0.00229679113001718
"RSAD2",0.0174837530887925
"XPO4",0.276017584509739
"NME2",0.620842354401605
"SALL1",0.340823475031064
"TLR8",0.000845154592231841
"TXNRD2",0.43109249609903
"MTFP1",0.000628353834462622
"MUC6",0.104747912203949
"RHEB",0.336601197789262
"MAP2K2",0.979030638376497
"MSRB2",0.000186264937238575
"TERF2IP",0.886135028753975
"ADNP",0.946575164929741
"MBNL2",0.0201053861725655
"ZNF831",0.00498153722851729
"SPN",0.186058105001067
"RAD54L",0.860599986361314
"CRABP1",0.0636820287395707
"DYNLRB1",0.327528068729279
"ZCCHC13",0.406701147735634
"ZNF573",0.934408169043137
"ABT1",0.173787730963914
"KBTBD6",0.212908102494658
"FAM210A",0.841829239148383
"CFP",0.000523623239760728
"TRIP11",0.513111722510698
"MAP3K10",0.444303046190694
"ZNF501",0.320766002894983
"MEX3C",0.00530667459565394
"ZNF883",0.367504497645885
"BMT2",0.906177066557503
"KHDRBS2",0.261460001193828
"OAS1",0.0125318730719655
"ABCB5",0.953321567494817
"DRG1",0.696545677627074
"WDR54",4.11604194436452e-08
"METTL22",0.887600079343814
"CCR2",0.137742339465601
"FAM83E",0.416889302591706
"PCYT1A",0.587054562912534
"TSPY4",0.78255687547968
"COLCA2",0.683510879359535
"BAZ1A",0.00803339281863185
"AKIRIN1",0.0250763526032573
"FIS1",0.170630605776739
"PAMR1",0.61785229540625
"TACR3",0.866261509399757
"PAN2",0.878533456035079
"CCDC114",0.103054688237034
"HSPA6",0.000190034698535119
"CRTAC1",0.895877645787844
"DAOA",0.274699905254504
"KLRG1",0.000276158021772078
"CHD4",0.135783260505193
"MRPS18C",0.0812090931457085
"DSCAM",0.48962071716687
"WNT10A",0.824367256421692
"SFXN4",0.00587869136208968
"FAM53A",0.934581533480331
"GTF3A",0.0979349280717778
"APH1A",0.233144729536456
"IL1A",0.380376704882815
"MRPL54",0.208152017438148
"RGCC",0.00303130806734844
"SYT13",0.454460103954095
"SLC13A3",0.723560133264567
"RYK",0.170532677944852
"GALNT5",0.330865726765766
"PTPRN",0.171568283025354
"WWC1",0.84537398924466
"UBXN6",0.335196257857742
"SLC46A3",0.542722713040752
"CDH23",0.69359636981797
"DTX3",0.0665081972331166
"SAAL1",0.000691333663917249
"YJEFN3",0.748618284998947
"ATP9B",0.822494530058034
"ELFN2",0.515062171468384
"HIST1H2BJ",0.0636101172273109
"ST6GALNAC2",0.00229360321432012
"ZBTB25",0.039749330447518
"CCNDBP1",0.182073645400272
"HACD3",0.0204612052384572
"PEX19",0.573073717930264
"PIGF",0.107085064784933
"MEGF9",3.13186134885381e-06
"BRPF3",0.0309525471726179
"KRTCAP2",0.0875875489344152
"BRE",0.247410563438323
"HMOX2",0.00743201662525241
"SEZ6",0.986637480108099
"WBP1L",0.568893965687045
"ZC3H18",0.0483614403144983
"ARHGAP25",0.0122300632330852
"UBE2Z",0.693154348781297
"ARAF",0.0679826659446934
"ATP11B",0.222324945119303
"DAGLB",0.499268565116103
"SLC1A1",0.676125823527373
"NOTCH3",0.372955600468126
"GNB2",0.00544611009259333
"DDX25",0.925491023287013
"WASH7P",0.132579429391952
"LCP2",0.000196708057690298
"GABBR1",0.760819336729613
"CREB5",0.00421624260886386
"MEX3B",0.966025021981918
"DPM1",0.335520047310929
"ACOT9",0.00423955272792886
"XPNPEP3",0.90004674956418
"CBWD6",0.542800655731234
"NANOG",0.176095493651026
"C11orf74",0.290084878897956
"TMCC2",0.170565203195992
"SLC2A1",0.0900310792180503
"DENND6B",0.177431264433861
"HIST2H2AA3",0.0935165393292349
"CHKB",0.235609290697478
"PPP1R10",0.290313191697713
"OR51G1",0.321200101488783
"SPP2",0.523319861353826
"HLA-DOA",0.351937056442923
"CD40LG",0.175705436038991
"ZCRB1",0.536997527604574
"NEFL",0.639047405911344
"ROCK2",0.129847106671449
"PSMA8",0.134660847633783
"PHLDA3",0.36230780330425
"CACNA1F",0.190273040695868
"ARL8A",0.150573872219245
"SAMD3",8.43745742844423e-05
"CARD19",0.75130766094293
"GRIN1",0.886806196541828
"RARA",0.00286459313947548
"CTXN3",0.3891676652998
"CD79A",0.0560589045999894
"KRT35",0.401889582530364
"MTMR14",0.0017466962560798
"RP2",0.818692065789327
"PRPF6",0.27927458380356
"ZNF799",0.596157222290639
"PSMG1",0.00484417683111367
"FZD6",0.98464574443898
"SVIL",0.00259242607743257
"PMP22",0.110876919995206
"ELP4",0.0999477148853016
"KCNK13",0.0527989930734319
"SCUBE3",0.00302748492046635
"RFC5",0.0190064094811882
"ADRA2A",0.255819780557005
"TFAP2D",0.74114269142278
"POLR2C",0.759511499239945
"LAMTOR3",0.317962093232721
"TXNDC17",0.179343914982865
"KIF1B",0.0137431329856115
"DUSP23",0.199885830965035
"APAF1",0.0176077839378087
"FAM71F1",0.917497835200801
"KRTAP4-5",0.0291560725684202
"PLXNB2",0.0985641850684769
"LGALS16",0.721617502115293
"USP39",0.345789176486086
"MED8",0.00406154330372788
"STX3",0.00541094240407841
"ANAPC1",0.0199056071616757
"SEC61A1",0.0608443554983973
"MYCBP",0.14458224877798
"PRG3",0.991487520105491
"SGCG",0.778775781642403
"LGALS3BP",0.455209926070203
"WWP2",0.0372403437932664
"EXOSC5",0.59056973207903
"LAMP2",0.0167169563686458
"BTF3",0.0696916623038071
"BAG3",0.196780706403986
"KCNJ15",3.14400311958997e-05
"RPL13AP3",0.00317150569437004
"CNGA2",0.413504719665654
"RUFY1",0.330287885862704
"STK19",0.516233710931769
"TRMT13",0.191564576495787
"HOXD9",0.792742253881375
"BCL11A",0.0978205610227899
"ATP6V1C1",0.508633481828403
"DNAJC3",0.307724703972034
"KIAA0355",0.0222225931436588
"PRPF40A",0.476372759509478
"FAM167B",0.728265254929419
"SNAP29",0.546337660747424
"SCAF4",0.92470601021349
"PAK2",0.052960610760411
"ACSS3",0.189985500147621
"PPP1R14B",0.0105106654785979
"DEC1",0.395797073539258
"MSN",0.150214642824931
"FKBP10",0.554018186862209
"ISG20",0.0020637699832653
"AK8",0.308876730220347
"GNAQ",0.02381663868909
"HNF1A",0.722491440170814
"PPP1R15A",0.000318272325065442
"ZBTB24",0.143537262160788
"BACH2",0.0784882727814326
"APC2",0.960285358654633
"LOC283440",0.513932591657216
"C1orf216",0.549736549298694
"CLP1",0.0323168682124424
"GPR152",0.416873742610601
"RSPH9",0.930831302155408
"HILPDA",0.651716136603965
"SLC34A1",0.0740303293249597
"SNURF",0.000487054465056047
"CCDC155",0.274812615500386
"PRR5",0.294584653493719
"PLIN3",0.0154672571805477
"FCGR2B",0.747476155999709
"UBXN11",0.757056966076163
"POLE4",0.0693263222736007
"RNF44",0.0243395430416372
"UCHL3",0.0901916677891781
"MMRN1",0.182701650884052
"ARR3",0.173324740937177
"ZNF582",0.199019028610413
"MATR3",0.181626672462174
"ANKRD13D",0.0548613742826755
"SYF2",0.304460339490279
"ZNF529",0.0283844951314722
"IFNA5",0.798423677230689
"ACAA2",0.193136668835349
"HCRTR1",0.394141148008536
"MTBP",0.447476686558894
"CREBL2",0.590687345178679
"LINC00999",0.0106035256787252
"PEX5",0.0914157797911326
"LDAH",0.266941137198104
"H2BFWT",0.400730760854674
"PDE12",0.853335341336947
"ITGA8",0.80391785101281
"LRPAP1",0.00443492028817953
"NPY2R",0.552258790303706
"CYTH4",0.000865878273079376
"GRIA2",0.210451903534952
"RPL13AP20",0.0164140576144506
"OMP",0.967212001816006
"CPSF4",0.0135992161066961
"HSPA1B",0.0447082058905865
